year,kiev_temp
1743,0.9
1744,9.5
1745,-2.48
1746,
1747,
1748,
1749,
1750,7.85
1751,8.11
1752,1.21
1753,6.9
1754,7.02
1755,6.88
1756,7.61
1757,7.56
1758,5.51
1759,6.65
1760,5.91
1761,7.28
1762,7.12
1763,6.12
1764,7.38
1765,7.29
1766,7.17
1767,6.85
1768,5.69
1769,6.81
1770,6.93
1771,6.23
1772,7.33
1773,7.71
1774,7.46
1775,8.22
1776,6.92
1777,6.68
1778,7.55
1779,8.07
1780,6.99
1781,7.31
1782,6.45
1783,7.14
1784,6.92
1785,5.62
1786,6.29
1787,7.19
1788,6.49
1789,7.67
1790,7.06
1791,7.99
1792,6.9
1793,7.17
1794,7.87
1795,7.1
1796,7.07
1797,8.42
1798,7.62
1799,6.02
1800,6.95
1801,8.06
1802,7.95
1803,6.34
1804,6.87
1805,6.36
1806,7.5
1807,7.61
1808,6.29
1809,5.63
1810,5.93
1811,6.85
1812,5.51
1813,6.31
1814,6.1
1815,5.72
1816,6.24
1817,6.69
1818,7.07
1819,7.04
1820,6.08
1821,6.9
1822,7.6
1823,7.34
1824,8.44
1825,6.72
1826,7.27
1827,7.67
1828,5.95
1829,5.21
1830,6.62
1831,6.25
1832,4.92
1833,6.79
1834,7.53
1835,6.26
1836,6.98
1837,6.07
1838,5.69
1839,6.46
1840,5.48
1841,7.39
1842,6.15
1843,7.55
1844,5.94
1845,6.28
1846,7.34
1847,6.39
1848,7.69
1849,6.5
1850,6.82
1851,7.78
1852,6.43
1853,7.04
1854,6.84
1855,6.32
1856,6.82
1857,7.08
1858,6.29
1859,7.96
1860,7.06
1861,6.06
1862,5.46
1863,7.98
1864,5.83
1865,6.43
1866,7.38
1867,6.18
1868,7.1
1869,7.89
1870,5.81
1871,5.49
1872,8.11
1873,7.57
1874,7.17
1875,5.08
1876,6.38
1877,6.33
1878,7.82
1879,6.61
1880,6.28
1881,5.7
1882,7.73
1883,6.63
1884,6.74
1885,7.32
1886,6.94
1887,7.1
1888,5.63
1889,6.64
1890,7.15
1891,6.82
1892,7.13
1893,5.66
1894,6.48
1895,6.7
1896,6.48
1897,7.51
1898,6.86
1899,7.07
1900,7.01
1901,7.58
1902,5.82
1903,8.08
1904,6.43
1905,7.35
1906,7.96
1907,5.88
1908,5.93
1909,6.79
1910,7.97
1911,6.18
1912,5.89
1913,7.77
1914,7.44
1915,6.99
1916,7.23
1917,6.28
1918,7.57
1919,6.3
1920,7.05
1921,7.29
1922,6.67
1923,7.55
1924,6.39
1925,8.14
1926,7.2
1927,6.89
1928,6.07
1929,5.88
1930,7.71
1931,6.11
1932,7.45
1933,5.29
1934,8.12
1935,7.04
1936,8.3
1937,8.03
1938,8.45
1939,8.19
1940,5.79
1941,5.37
1942,4.75
1943,7.14
1944,7.77
1945,6.12
1946,7.54
1947,6.96
1948,7.58
1949,7.96
1950,7.23
1951,7.56
1952,7.15
1953,6.91
1954,6.7
1955,7.39
1956,5.67
1957,8.11
1958,7.39
1959,7.26
1960,7.91
1961,8.08
1962,7.69
1963,6.56
1964,7
1965,6.33
1966,8.65
1967,7.67
1968,7.13
1969,5.97
1970,7.48
1971,7.53
1972,8
1973,7.17
1974,7.8
1975,9.09
1976,5.96
1977,7.26
1978,6.46
1979,7.43
1980,6.16
1981,8.2
1982,7.82
1983,8.58
1984,7.31
1985,5.8
1986,7.35
1987,5.23
1988,7.25
1989,9.26
1990,8.9
1991,7.89
1992,8.07
1993,6.89
1994,7.98
1995,8.26
1996,7
1997,7.21
1998,7.74
1999,8.97
2000,8.82
2001,8.42
2002,8.87
2003,7.8
2004,8.32
2005,8.39
2006,7.88
2007,9.46
2008,9.24
2009,8.82
2010,8.97
2011,8.48
2012,8.56
2013,10.33
