Compiled_by,Database_ID,Species,Sex,Site,State,Country,Year,Diagnostic,Individuals,Indivs_positive,Collector_source,Orig_database,Disease_status,Accuracy,Latitude,Longitude,Dead_or_sick,Conservation_Status,Conservation_Status_Code,Stage,Genus,Family,State_FullName
RichardRetallick,1,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,2,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,3,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,4,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,5,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,6,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,7,Pseudophryne pengilleyi,not recorded,Black Fellows Gap,ACT,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.60145,148.76963,not noted,Critically Endangered ,CE,,Pseudophryne,Myobatrachidae,Australian Capital Territory
RichardRetallick,8,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,9,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,10,Pseudophryne pengilleyi,Female,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,11,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,12,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,13,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,14,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,15,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,16,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,17,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,18,Pseudophryne pengilleyi,Female,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,19,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,20,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,21,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,negative,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,22,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,23,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,24,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,25,Pseudophryne pengilleyi,Female,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,26,Pseudophryne pengilleyi,Female,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,27,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,28,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
RichardRetallick,29,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1.0,0.0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801000000004,not noted,Critically Endangered ,CE,Adult,Pseudophryne,Myobatrachidae,New South Wales
