Species,Conservation_Status,Conservation_Status_Code
Pseudophryne pengilleyi,Critically Endangered ,CE
Pseudophryne corroboree,Critically Endangered ,CE
Mixophyes fleayi,Endangered,EN
Litoria pearsoniana,Near Threatened,NT
Rhinella marina,Least Concern,LC
Adelotus brevis,Near Threatened,NT
Litoria caerulea,Least Concern,LC
Litoria wilcoxii,Least Concern,LC
Crinia parinsignifera,Least Concern,LC
Limnodynastes peronii,Least Concern,LC
Litoria brevipalmata,Endangered,EN
Litoria rubella,Least Concern,LC
Litoria brevipes,Least Concern,LC
Litoria fallax,Least Concern,LC
Litoria chloris,Least Concern,LC
Mixophyes iteratus,Endangered,EN
Mixophyes fasciolatus,Least Concern,LC
Philoria kundagungan,Endangered,EN
Litoria dentata,Least Concern,LC
Platyplectrum ornatum,Least Concern,LC
Limnodynastes tasmaniensis,Least Concern,LC
Litoria latopalmata,Least Concern,LC
Litoria alboguttata,Least Concern,LC
Litoria peronii,Least Concern,LC
Neobatrachus sudelli,Least Concern,LC
Limnodynastes terraereginae,Least Concern,LC
Litoria rothii,Least Concern,LC
Litoria nasuta,Least Concern,LC
Litoria pallida,Least Concern,LC
Litoria tornieri,Least Concern,LC
sp. Crinia,,
Pseudophryne bibronii,Least Concern,LC
Litoria genimaculata,Least Concern,LC
Litoria nannotis,Endangered,EN
Litoria rheocola,Endangered,EN
Nyctimystes dayi,Endangered,EN
Litoria lesueuri sensu lato,Least Concern,LC
Hylarana daemeli,Least Concern,LC
Mixophyes schevilli,Least Concern,LC
Litoria infrafrenata,Least Concern,LC
unknown,,
Taudactylus rheophilus,Critically Endangered ,CE
Austrochaperina robusta,Least Concern,LC
Litoria andirrmalin,Vulnerable,VU
Litoria novaehollandiae,Least Concern,LC
Litoria inermis,Least Concern,LC
Litoria gracilenta,Least Concern,LC
Uperoleia mimula,Least Concern,LC
Crinia deserticola,Least Concern,LC
Uperoleia altissima,Least Concern,LC
Litoria jungguy,Near Threatened,NT
Litoria eucnemis,Least Concern,LC
Litoria longirostris,Least Concern,LC
Litoria spenceri,Critically Endangered ,CE
Crinia signifera,Least Concern,LC
Taudactylus acutirostris,Critically Endangered ,CE
Litoria raniformis,Endangered,EN
Litoria verreauxii,Least Concern,LC
Litoria ewingii,Least Concern,LC
Limnodynastes dumerilii,Least Concern,LC
Crinia riparia,Least Concern,LC
Litoria citropa,Least Concern,LC
Litoria lesueuri,Least Concern,LC
Lechriodus fletcheri,Least Concern,LC
Taudactylus eungellensis,Critically Endangered ,CE
Litoria aurea,Vulnerable,VU
Heleioporus australiacus,Vulnerable,VU
Litoria serrata,Least Concern,LC
Litoria moorei,Least Concern,LC
Crinia georgiana,Least Concern,LC
sp. Mixophyes,,
Litoria xanthomera,Least Concern,LC
Litoria revelata,Least Concern,LC
Taudactylus liemi,Near Threatened,NT
Litoria barringtonensis,,
Litoria phyllochroa,Least Concern,LC
Uperoleia laevigata,Least Concern,LC
Litoria tyleri,Least Concern,LC
Geocrinia rosea,Least Concern,LC
Heleioporus eyrei,Least Concern,LC
Litoria adelaidensis,Least Concern,LC
Crinia glauerti,Least Concern,LC
Crinia insignifera,Least Concern,LC
Limnodynastes dorsalis,Least Concern,LC
Crinia pseudinsignifera,Least Concern,LC
Taudactylus pleione,Critically Endangered ,CE
Litoria bicolor,Least Concern,LC
Litoria nigrofrenata,Least Concern,LC
Litoria microbelos,Least Concern,LC
Limnodynastes convexiusculus,Least Concern,LC
Litoria dahlii,Least Concern,LC
Litoria electrica,Least Concern,LC
Litoria australis,Least Concern,LC
Litoria Brevipes,Least Concern,LC
Geocrinia leai,Least Concern,LC
Myobatrachus gouldii,Least Concern,LC
Pseudophryne guentheri,Least Concern,LC
Neobatrachus kunapalari,Least Concern,LC
Neobatrachus pelobatoides,Least Concern,LC
sp. Litoria,,
Ambystoma mexicanum,Critically Endangered ,CE
Heleioporus barycragus,Least Concern,LC
sp. Heleioporus,,
Heleioporus psammophilus,Least Concern,LC
Crinia subinsignifera,Least Concern,LC
sp. Neobatrachus,,
Spicospina flammocaerulea,Vulnerable,VU
Litoria coplandi,Least Concern,LC
Geocrinia alba,Critically Endangered ,CE
Geocrinia vitellina,Vulnerable,VU
Heleioporus albopunctatus,Least Concern,LC
Limnodynastes tasmaniensis ,Least Concern,LC
Limnodynastes fletcheri,Least Concern,LC
Cophixalus ornatus,Least Concern,LC
