Species
Pseudophryne pengilleyi
Pseudophryne corroboree
Mixophyes fleayi
Litoria pearsoniana
Rhinella marina
Adelotus brevis
Litoria caerulea
Litoria wilcoxii
Crinia parinsignifera
Limnodynastes peronii
Litoria brevipalmata
Litoria rubella
Litoria brevipes
Litoria fallax
Litoria chloris
Mixophyes iteratus
Mixophyes fasciolatus
Philoria kundagungan
Litoria dentata
Platyplectrum ornatum
Litoria latopalmata
Litoria peronii
Neobatrachus sudelli
Litoria rothii
Litoria nasuta
Litoria pallida
Litoria tornieri
sp. Crinia
Pseudophryne bibronii
Litoria genimaculata
Litoria nannotis
Litoria rheocola
Nyctimystes dayi
Litoria lesueuri sensu lato
Hylarana daemeli
Mixophyes schevilli
Litoria infrafrenata
unknown
Taudactylus rheophilus
Austrochaperina robusta
Litoria andirrmalin
Litoria alboguttata
Litoria novaehollandiae
Litoria inermis
Limnodynastes terraereginae
Litoria gracilenta
Limnodynastes tasmaniensis
Uperoleia mimula
Crinia deserticola
Uperoleia altissima
Litoria jungguy
Litoria eucnemis
Litoria longirostris
Litoria spenceri
Crinia signifera
Taudactylus acutirostris
Litoria raniformis
Litoria verreauxii
Litoria ewingii
Limnodynastes dumerilii
Crinia riparia
Litoria citropa
Litoria lesueuri
Lechriodus fletcheri
Taudactylus eungellensis
Litoria aurea
Heleioporus australiacus
Litoria serrata
Litoria moorei
Crinia georgiana
sp. Mixophyes
Litoria xanthomera
Litoria revelata
Taudactylus liemi
Litoria barringtonensis
Litoria phyllochroa
Uperoleia laevigata
Litoria tyleri
Geocrinia rosea
Heleioporus eyrei
Litoria adelaidensis
Crinia glauerti
Crinia insignifera
Limnodynastes dorsalis
Crinia pseudinsignifera
Taudactylus pleione
Litoria bicolor
Litoria nigrofrenata
Litoria microbelos
Limnodynastes convexiusculus
Litoria dahlii
Litoria electrica
Litoria australis
Litoria Brevipes
Geocrinia leai
Myobatrachus gouldii
Pseudophryne guentheri
Neobatrachus kunapalari
Neobatrachus pelobatoides
sp. Litoria
Ambystoma mexicanum
Heleioporus barycragus
sp. Heleioporus
Heleioporus psammophilus
Crinia subinsignifera
sp. Neobatrachus
Spicospina flammocaerulea
Litoria coplandi
Geocrinia alba
Geocrinia vitellina
Heleioporus albopunctatus
Limnodynastes tasmaniensis 
Limnodynastes fletcheri
Cophixalus ornatus
